ranking,name,age,sector,gender,title,self_made,organization,country
2,Elon Musk,51,Automotive,M,CEO,,Tesla,USA
3,Jeff Bezos,59,Technology,M,Chairman and Founder,,Amazon,USA
4,Larry Ellison,78,Technology,M,CTO and Founder,,Oracle,USA
5,Warren Buffett,92,Finance & Investments,M,CEO,,Berkshire Hathaway Inc. (Cl A),USA
6,Bill Gates,67,Technology,M,Cochair,,Bill & Melinda Gates Foundation,USA
7,Michael Bloomberg,81,Media & Entertainment,M,CEO,,Bloomberg,USA
8,Carlos Slim Helu & family,83,Telecom,M,Honorary Chairman,,América Móvil,MEX
9,Mukesh Ambani,65,Diversified,M,Founder and Chairman,,Reliance Industries,IND
10,Steve Ballmer,67,Technology,M,Owner,,Los Angeles Clippers,USA
12,Larry Page,50,Technology,M,Cofounder and board member,,Alphabet,USA
13,Amancio Ortega,87,Fashion & Retail,M,,,,ESP
14,Sergey Brin,49,Technology,M,Cofounder and board member,,Alphabet,USA
15,Zhong Shanshan,68,Food & Beverage,M,,,,CHN
16,Mark Zuckerberg,38,Technology,M,Cofounder,,Meta Platforms,USA
17,Charles Koch & family,87,Diversified,M,Chairman and CEO,,"Koch Industries, Inc.",USA
17,Julia Koch & family,60,Diversified,F,,,,USA
19,Jim Walton,74,Fashion & Retail,M,Chairman and CEO,,"Arvest Bank Group, Inc.",USA
20,Rob Walton & family,78,Fashion & Retail,M,Director,,Walmart,USA
21,Alice Walton,73,Fashion & Retail,F,Philanthropist,,Crystal Bridges Museum of American Art,USA
22,David Thomson & family,65,Media & Entertainment,M,Chairman,,Thomson Reuters Corporation,CAN
23,Michael Dell,58,Technology,M,Chairman and CEO,,Dell Inc.,USA
24,Gautam Adani,60,Diversified,M,,,,IND
25,Phil Knight & family,85,Fashion & Retail,M,Chairman,,Nike,USA
26,Zhang Yiming,39,Technology,M,Founder,,ByteDance,CHN
27,Dieter Schwarz,83,Fashion & Retail,M,,,,DEU
29,Klaus-Michael Kuehne,85,Logistics,M,,,,CHE
30,Giovanni Ferrero,58,Food & Beverage,M,,,,BEL
31,Jacqueline Mars,83,Food & Beverage,F,,,,USA
31,John Mars,87,Food & Beverage,M,,,,USA
33,Li Ka-shing,94,Diversified,M,Senior Advisor,,CK Hutchison Holdings,HKG
34,Ma Huateng,51,Technology,M,Chairman and CEO,,Tencent Holdings,CHN
35,Miriam Adelson & family,77,Gambling & Casinos,F,,,,USA
35,Ken Griffin,54,Finance & Investments,M,Founder & CEO,,Citadel LLC,USA
37,Mark Mateschitz,30,Food & Beverage,M,,,,AUT
38,Robin Zeng,54,Automotive,M,,,,CHN
39,Tadashi Yanai & family,74,Fashion & Retail,M,,,,JPN
40,Len Blavatnik,65,Diversified,M,,,,GBR
41,Alain Wertheimer,74,Fashion & Retail,M,,,,USA
41,Gerard Wertheimer,72,Fashion & Retail,M,,,,USA
43,Gianluigi Aponte,82,Logistics,M,,,,CHE
43,Rafaela Aponte-Diamant,78,Logistics,F,,,,CHE
45,Colin Zheng Huang,43,Technology,M,,,,CHN
46,Reinhold Wuerth & family,87,Manufacturing,M,,,,DEU
47,Lee Shau Kee,95,Real Estate,M,,,,HKG
48,Jeff Yass,64,Finance & Investments,M,,,,USA
49,Jim Simons,84,Finance & Investments,M,Founder,,Renaissance Technologies Corp.,USA
50,Stephen Schwarzman,76,Finance & Investments,M,Chairman and CEO,,Blackstone Group,USA
51,Susanne Klatten,60,Automotive,F,,,,DEU
52,Gina Rinehart,69,Metals & Mining,F,Executive Chairman,,Hancock Prospecting,AUS
53,William Ding,51,Technology,M,,,,CHN
54,Germán Larrea Mota Velasco & family,69,Metals & Mining,M,,,,MEX
55,Shiv Nadar,77,Technology,M,,,,IND
56,Low Tuck Kwong,74,Energy,M,,,,IDN
57,Thomas Peterffy,78,Finance & Investments,M,,,,USA
58,Andrey Melnichenko & family,51,Metals & Mining,M,,,,ARE
59,Stefan Quandt,56,Automotive,M,,,,DEU
60,MacKenzie Scott,52,Technology,F,Philanthropist,,,USA
61,R. Budi Hartono,82,Finance & Investments,M,,,,IDN
62,Vladimir Potanin,62,Metals & Mining,M,,,,RUS
63,Jack Ma,58,Technology,M,,,,CHN
64,He Xiangjian & family,80,Manufacturing,M,,,,CHN
65,Iris Fontbona & family,80,Metals & Mining,F,,,,CHL
65,Michael Hartono,83,Manufacturing,M,,,,IDN
67,James Ratcliffe,70,Manufacturing,M,,,,GBR
68,Cyrus Poonawalla,81,Healthcare,M,,,,IND
69,Masayoshi Son,65,Telecom,M,CEO,,SoftBank Group Corp.,JPN
70,Vladimir Lisin,66,Metals & Mining,M,,,,RUS
72,Abigail Johnson,61,Finance & Investments,F,CEO,,Fidelity Investments,USA
72,Leonid Mikhelson & family,67,Energy,M,,,,RUS
74,Lukas Walton,36,Fashion & Retail,M,,,,USA
74,Wang Wei,52,Service,M,,,,CHN
76,Jensen Huang,60,Technology,M,CEO & President,,Nvidia,USA
77,Leonard Lauder,90,Fashion & Retail,M,Chairman Emeritus,,The Estée Lauder Companies,USA
77,Takemitsu Takizaki,77,Manufacturing,M,,,,JPN
79,Alexey Mordashov & family,57,Metals & Mining,M,,,,RUS
80,Vagit Alekperov,72,Energy,M,,,,RUS
81,"Thomas Frist, Jr. & family",84,Healthcare,M,,,,USA
82,Andrew Forrest,61,Metals & Mining,M,,,,AUS
83,Ray Dalio,73,Finance & Investments,M,Founder & Co-Chief Investment Officer,,Bridgewater Associates,USA
84,Eric Li,59,Automotive,M,,,,CHN
84,Wang Wenyin,55,Metals & Mining,M,,,,CHN
86,Eyal Ofer,72,Diversified,M,,,,MCO
86,Qin Yinglin,57,Food & Beverage,M,,,,CHN
88,Wang Chuanfu,57,Automotive,M,,,,CHN
89,Harold Hamm & family,77,Energy,M,Chairman and CEO,,Continental Resources Inc. ,USA
89,David Tepper,65,Finance & Investments,M,President and Founder,,Appaloosa Management,USA
89,Gennady Timchenko,70,Energy,M,,,,RUS
92,Daniel Gilbert,61,Finance & Investments,M,,,,USA
93,Lakshmi Mittal,72,Metals & Mining,M,Chairman and CEO,,ArcelorMittal (ADR),GBR
94,Steve Cohen,66,Finance & Investments,M,Founder,,Point72 Asset Management,USA
94,Carl Icahn,87,Finance & Investments,M,Founder,,Icahn Capital Management,USA
94,Savitri Jindal & family,73,Metals & Mining,F,,,,IND
97,Donald Bren,90,Real Estate,M,Chairman,,Irvine Company,USA
97,"John Menard, Jr.",83,Fashion & Retail,M,Founder,,"Menard, Inc.",USA
99,Rupert Murdoch & family,92,Media & Entertainment,M,Chairman and CEO,,News Corp Class A,USA
100,Vicky Safra & family,70,Finance & Investments,F,,,,CHE
101,"Theo Albrecht, Jr. & family",72,Fashion & Retail,M,,,,DEU
101,Renata Kellnerova & family,55,Finance & Investments,F,,,,CZE
103,Li Xiting,72,Healthcare,M,,,,CHN
104,Stefan Persson,75,Fashion & Retail,M,Chairman,,Hennes & Mauritz Unsponsored ADR,SWE
104,Eric Schmidt,67,Technology,M,,,,USA
106,Michael Platt,55,Finance & Investments,M,Founder ,,BlueCrest Capital Management,CHE
107,Pang Kang,67,Food & Beverage,M,,,,CHN
108,Jorge Paulo Lemann & family,83,Food & Beverage,M,"Investor, Philanthropist",,,CHE
108,Peter Woo,76,Real Estate,M,,,,HKG
112,Dilip Shanghvi,67,Healthcare,M,,,,IND
113,Robert Pera,45,Technology,M,Chief Executive Officer,,Ubiquiti,USA
114,Radhakishan Damani,68,Fashion & Retail,M,,,,IND
115,Huang Shilin,56,Automotive,M,,,,CHN
116,Dhanin Chearavanont,83,Diversified,M,,,,THA
116,David Green & family,81,Fashion & Retail,M,CEO,,Hobby Lobby,USA
118,Charoen Sirivadhanabhakdi,78,Food & Beverage,M,,,,THA
119,Charlene de Carvalho-Heineken & family,68,Food & Beverage,F,,,,GBR
120,Xu Hang,60,Healthcare,M,,,,CHN
121,Wei Jianjun & family,59,Automotive,M,,,,CHN
122,Alisher Usmanov,69,Metals & Mining,M,Founder,,Metalloinvest,UZB
123,Goh Cheng Liang,95,Manufacturing,M,,,,SGP
124,Kumar Birla,55,Diversified,M,,,,IND
124,Aliko Dangote,65,Manufacturing,M,CEO,,Dangote Group,NGA
126,Kwong Siu-hing,93,Real Estate,F,,,,HKG
127,Idan Ofer,67,Diversified,M,,,,GBR
128,Chen Bang,57,Healthcare,M,,,,CHN
128,Lui Che Woo,94,Gambling & Casinos,M,,,,HKG
130,John Fredriksen,78,Logistics,M,Investor,,,GBR
130,Diane Hendricks,76,Construction & Engineering,F,Cofounder,,ABC Supply,USA
130,Jan Koum,47,Technology,M,"CEO, cofounder",,WhatsApp Inc.,USA
133,Jerry Jones,80,Sports,M,President and General Manager,,Dallas Cowboys,USA
133,George Kaiser,80,Energy,M,Chairman,,BOK Financial Corp.,USA
133,Joseph Lau,71,Real Estate,M,,,,HKG
136,Lu Xiangyang,60,Automotive,M,,,,CHN
137,Harry Triguboff,90,Real Estate,M,,,,AUS
138,Uday Kotak,64,Finance & Investments,M,,,,IND
138,Stanley Kroenke,75,Sports,M,,,,USA
140,Mikhail Fridman,58,Energy,M,,,,GBR
141,Sarath Ratanavadi,57,Energy,M,,,,THA
142,Dang Yanbao,50,Metals & Mining,M,,,,CHN
142,Jiang Rensheng & family,69,Healthcare,M,,,,CHN
144,Shahid Khan,72,Automotive,M,,,,USA
145,Laurene Powell Jobs & family,59,Technology,F,"Investor, Philanthropist",,Emerson Collective,USA
146,Robert Kuok,99,Diversified,M,,,,HKG
147,Stephen Ross,82,Real Estate,M,,,,USA
148,Pavel Durov,38,Technology,M,,,,ARE
148,Andreas Struengmann & family,73,Healthcare,M,,,,DEU
148,Thomas Struengmann & family,73,Healthcare,M,,,,DEU
151,Liu Hanyuan,59,Food & Beverage,M,,,,CHN
151,Michael Rubin,50,Fashion & Retail,M,CEO,,Kynetic,USA
153,Israel Englander,74,Finance & Investments,M,Founder,,"Millennium Management, L.L.C.",USA
153,Viatcheslav Kantor,69,Manufacturing,M,,,,ISR
153,Anthony Pratt,62,Manufacturing,M,,,,AUS
153,Mikhail Prokhorov,57,Finance & Investments,M,,,,CHE
157,Giorgio Armani,88,Fashion & Retail,M,,,,ITA
157,Johann Rupert & family,72,Fashion & Retail,M,,,,ZAF
159,Gong Hongjia & family,58,Finance & Investments,M,,,,HKG
159,Zhang Zhidong,51,Technology,M,,,,CHN
161,Philip Anschutz,83,Finance & Investments,M,,,,USA
161,Judy Love & family,85,Fashion & Retail,F,Chairman and CEO,,Love's Travel Stops and Country Stores,USA
161,Ricardo Salinas Pliego & family,67,Fashion & Retail,M,,,,MEX
164,Donald Newhouse,93,Media & Entertainment,M,,,,USA
165,Robert Kraft,81,Sports,M,Chairman & CEO,,The Kraft Group,USA
165,Marcel Herrmann Telles,73,Food & Beverage,M,,,,BRA
167,Suleiman Kerimov & family,57,Finance & Investments,M,,,,RUS
167,Sky Xu,39,Fashion & Retail,M,,,,CHN
167,Changpeng Zhao,45,Finance & Investments,M,,,,ARE
170,Andrew Beal,70,Finance & Investments,M,,,,USA
171,Mike Cannon-Brookes,43,Technology,M,,,,AUS
171,Carl Cook,60,Healthcare,M,,,,USA
171,David Duffield,82,Technology,M,Chairman and Cofounder,,Workday,USA
171,Jeffery Hildebrand,64,Energy,M,,,,USA
171,Viktor Rashnikov,74,Manufacturing,M,,,,RUS
171,Eduardo Saverin,41,Technology,M,Investor,,Meta Platforms,SGP
171,Georg Schaeffler,58,Automotive,M,,,,DEU
171,Christy Walton,74,Fashion & Retail,F,,,,USA
179,Scott Farquhar,43,Technology,M,,,,AUS
179,Quek Leng Chan,81,Diversified,M,,,,MYS
179,Wu Yajun,59,Real Estate,F,,,,CHN
182,Autry Stephens,85,Energy,M,,,,USA
