country,year,value,source
AFG,1949,0.014656,global_emissions_dataset
AFG,1950,0.084272,global_emissions_dataset
AFG,1951,0.0916,global_emissions_dataset
AFG,1952,0.0916,global_emissions_dataset
AFG,1953,0.106256,global_emissions_dataset
AFG,1954,0.106256,global_emissions_dataset
AFG,1955,0.153888,global_emissions_dataset
AFG,1956,0.1832,global_emissions_dataset
AFG,1957,0.29312,global_emissions_dataset
AFG,1958,0.32976,global_emissions_dataset
AFG,1959,0.384571,global_emissions_dataset
AFG,1960,0.413885,global_emissions_dataset
AFG,1961,0.490798,global_emissions_dataset
AFG,1962,0.688594,global_emissions_dataset
AFG,1963,0.706736,global_emissions_dataset
AFG,1964,0.838551,global_emissions_dataset
AFG,1965,1.006917,global_emissions_dataset
AFG,1966,1.091159,global_emissions_dataset
AFG,1967,1.281865,global_emissions_dataset
AFG,1968,1.223391,global_emissions_dataset
AFG,1969,0.941232,global_emissions_dataset
AFG,1970,1.670397,global_emissions_dataset
AFG,1971,1.893554,global_emissions_dataset
AFG,1972,1.530347,global_emissions_dataset
AFG,1973,1.635454,global_emissions_dataset
AFG,1974,1.913152,global_emissions_dataset
AFG,1975,2.121383,global_emissions_dataset
AFG,1976,1.980859,global_emissions_dataset
AFG,1977,2.384175,global_emissions_dataset
AFG,1978,2.1533,global_emissions_dataset
AFG,1979,2.232754,global_emissions_dataset
AFG,1980,1.756302,global_emissions_dataset
AFG,1981,1.978463,global_emissions_dataset
AFG,1982,2.094581,global_emissions_dataset
AFG,1983,2.519954,global_emissions_dataset
AFG,1984,2.82154,global_emissions_dataset
AFG,1985,3.501422,global_emissions_dataset
AFG,1986,3.133645,global_emissions_dataset
AFG,1987,3.113826,global_emissions_dataset
AFG,1988,2.856896,global_emissions_dataset
AFG,1989,2.764855,global_emissions_dataset
AFG,1990,2.024326,global_emissions_dataset
AFG,1991,1.914301,global_emissions_dataset
AFG,1992,1.482054,global_emissions_dataset
AFG,1993,1.486943,global_emissions_dataset
AFG,1994,1.453829,global_emissions_dataset
AFG,1995,1.417327,global_emissions_dataset
AFG,1996,1.370104,global_emissions_dataset
AFG,1997,1.304152,global_emissions_dataset
AFG,1998,1.278504,global_emissions_dataset
AFG,1999,1.09164,global_emissions_dataset
AFG,2000,1.047128,global_emissions_dataset
AFG,2001,1.069098,global_emissions_dataset
AFG,2002,1.340995,global_emissions_dataset
AFG,2003,1.559602,global_emissions_dataset
AFG,2004,1.237247,global_emissions_dataset
AFG,2005,1.889507,global_emissions_dataset
AFG,2006,2.159318,global_emissions_dataset
AFG,2007,2.799909,global_emissions_dataset
AFG,2008,4.254477,global_emissions_dataset
AFG,2009,6.391888,global_emissions_dataset
AFG,2010,8.364803,global_emissions_dataset
AFG,2011,11.838316,global_emissions_dataset
AFG,2012,10.035314,global_emissions_dataset
AFG,2013,9.25051,global_emissions_dataset
AFG,2014,9.170309,global_emissions_dataset
AFG,2015,9.791093,global_emissions_dataset
AFG,2016,9.067598,global_emissions_dataset
AFG,2017,9.867969,global_emissions_dataset
AFG,2018,10.818048,global_emissions_dataset
AFG,2019,11.081621,global_emissions_dataset
AFG,2020,11.681766,global_emissions_dataset
AFG,2021,11.874211,global_emissions_dataset
ALB,1933,0.007328,global_emissions_dataset
ALB,1934,0.007328,global_emissions_dataset
ALB,1935,0.01832,global_emissions_dataset
ALB,1936,0.12821,global_emissions_dataset
ALB,1937,0.296725,global_emissions_dataset
ALB,1938,0.34808,global_emissions_dataset
ALB,1939,0.432352,global_emissions_dataset
ALB,1940,0.692496,global_emissions_dataset
ALB,1941,0.626485,global_emissions_dataset
ALB,1942,0.743792,global_emissions_dataset
ALB,1943,0.461664,global_emissions_dataset
ALB,1944,0.153888,global_emissions_dataset
ALB,1945,0.120912,global_emissions_dataset
ALB,1946,0.483648,global_emissions_dataset
ALB,1947,0.926992,global_emissions_dataset
ALB,1948,0.703488,global_emissions_dataset
ALB,1949,1.014928,global_emissions_dataset
ALB,1950,0.296725,global_emissions_dataset
ALB,1951,0.402981,global_emissions_dataset
ALB,1952,0.373669,global_emissions_dataset
ALB,1953,0.413973,global_emissions_dataset
ALB,1954,0.501909,global_emissions_dataset
ALB,1955,0.663006,global_emissions_dataset
ALB,1956,0.838789,global_emissions_dataset
ALB,1957,1.505607,global_emissions_dataset
ALB,1958,1.201465,global_emissions_dataset
ALB,1959,1.443319,global_emissions_dataset
ALB,1960,2.022231,global_emissions_dataset
ALB,1961,2.278533,global_emissions_dataset
ALB,1962,2.461733,global_emissions_dataset
ALB,1963,2.080617,global_emissions_dataset
ALB,1964,2.014695,global_emissions_dataset
ALB,1965,2.172159,global_emissions_dataset
ALB,1966,2.549579,global_emissions_dataset
ALB,1967,2.677493,global_emissions_dataset
ALB,1968,3.069214,global_emissions_dataset
ALB,1969,3.241303,global_emissions_dataset
ALB,1970,3.739486,global_emissions_dataset
ALB,1971,4.348023,global_emissions_dataset
ALB,1972,5.637977,global_emissions_dataset
ALB,1973,5.286406,global_emissions_dataset
ALB,1974,4.341512,global_emissions_dataset
ALB,1975,4.591172,global_emissions_dataset
ALB,1976,4.947198,global_emissions_dataset
ALB,1977,5.717343,global_emissions_dataset
ALB,1978,6.491245,global_emissions_dataset
ALB,1979,7.583971,global_emissions_dataset
ALB,1980,5.170837,global_emissions_dataset
ALB,1981,7.339622,global_emissions_dataset
ALB,1982,7.307607,global_emissions_dataset
ALB,1983,7.630809,global_emissions_dataset
ALB,1984,7.825903,global_emissions_dataset
ALB,1985,7.88154,global_emissions_dataset
ALB,1986,8.058077,global_emissions_dataset
ALB,1987,7.447081,global_emissions_dataset
ALB,1988,7.329222,global_emissions_dataset
ALB,1989,8.986169,global_emissions_dataset
ALB,1990,5.520602,global_emissions_dataset
ALB,1991,4.290226,global_emissions_dataset
ALB,1992,2.517116,global_emissions_dataset
ALB,1993,2.337999,global_emissions_dataset
ALB,1994,1.923806,global_emissions_dataset
ALB,1995,2.089065,global_emissions_dataset
ALB,1996,2.017508,global_emissions_dataset
ALB,1997,1.543009,global_emissions_dataset
ALB,1998,1.754709,global_emissions_dataset
ALB,1999,2.986196,global_emissions_dataset
ALB,2000,3.024926,global_emissions_dataset
ALB,2001,3.220656,global_emissions_dataset
ALB,2002,3.748272,global_emissions_dataset
ALB,2003,4.303499,global_emissions_dataset
ALB,2004,4.176684,global_emissions_dataset
ALB,2005,4.261413,global_emissions_dataset
ALB,2006,3.910715,global_emissions_dataset
ALB,2007,3.94897,global_emissions_dataset
ALB,2008,4.397043,global_emissions_dataset
ALB,2009,4.406552,global_emissions_dataset
ALB,2010,4.783865,global_emissions_dataset
ALB,2011,5.314676,global_emissions_dataset
ALB,2012,4.85006,global_emissions_dataset
ALB,2013,5.287466,global_emissions_dataset
ALB,2014,5.999658,global_emissions_dataset
ALB,2015,4.712137,global_emissions_dataset
ALB,2016,4.631977,global_emissions_dataset
ALB,2017,5.564149,global_emissions_dataset
ALB,2018,4.984045,global_emissions_dataset
ALB,2019,4.947485,global_emissions_dataset
ALB,2020,4.728559,global_emissions_dataset
ALB,2021,4.619109,global_emissions_dataset
DZA,1916,0.003664,global_emissions_dataset
DZA,1917,0.007328,global_emissions_dataset
DZA,1918,0.01832,global_emissions_dataset
DZA,1919,0.01832,global_emissions_dataset
DZA,1920,0.021984,global_emissions_dataset
DZA,1921,0.025648,global_emissions_dataset
DZA,1922,0.025648,global_emissions_dataset
DZA,1923,0.014656,global_emissions_dataset
DZA,1924,0.029312,global_emissions_dataset
DZA,1925,0.032976,global_emissions_dataset
DZA,1926,0.040304,global_emissions_dataset
DZA,1927,0.058624,global_emissions_dataset
DZA,1928,0.073072,global_emissions_dataset
DZA,1929,0.080381,global_emissions_dataset
DZA,1930,0.084005,global_emissions_dataset
DZA,1931,0.098619,global_emissions_dataset
DZA,1932,0.113227,global_emissions_dataset
DZA,1933,0.120615,global_emissions_dataset
DZA,1934,0.138846,global_emissions_dataset
DZA,1935,0.131644,global_emissions_dataset
DZA,1936,0.051029,global_emissions_dataset
DZA,1937,0.069349,global_emissions_dataset
DZA,1938,0.032976,global_emissions_dataset
DZA,1939,0.161216,global_emissions_dataset
DZA,1940,0.23816,global_emissions_dataset
DZA,1941,0.31144,global_emissions_dataset
DZA,1942,0.498304,global_emissions_dataset
DZA,1943,0.468665,global_emissions_dataset
DZA,1944,0.497921,global_emissions_dataset
DZA,1945,0.615136,global_emissions_dataset
DZA,1946,0.761639,global_emissions_dataset
DZA,1947,0.743287,global_emissions_dataset
DZA,1948,0.801884,global_emissions_dataset
DZA,1949,0.908165,global_emissions_dataset
DZA,1950,3.783605,global_emissions_dataset
DZA,1951,4.131179,global_emissions_dataset
DZA,1952,3.889207,global_emissions_dataset
DZA,1953,3.999006,global_emissions_dataset
DZA,1954,4.152302,global_emissions_dataset
DZA,1955,4.606578,global_emissions_dataset
DZA,1956,4.995053,global_emissions_dataset
DZA,1957,5.537086,global_emissions_dataset
DZA,1958,5.214119,global_emissions_dataset
DZA,1959,5.657017,global_emissions_dataset
DZA,1960,6.151241,global_emissions_dataset
DZA,1961,6.05592,global_emissions_dataset
DZA,1962,5.66101,global_emissions_dataset
DZA,1963,5.419154,global_emissions_dataset
DZA,1964,5.643044,global_emissions_dataset
DZA,1965,6.588533,global_emissions_dataset
DZA,1966,8.420862,global_emissions_dataset
DZA,1967,8.431587,global_emissions_dataset
DZA,1968,9.050236,global_emissions_dataset
DZA,1969,11.262968,global_emissions_dataset
DZA,1970,15.05896,global_emissions_dataset
DZA,1971,18.649531,global_emissions_dataset
DZA,1972,28.32264,global_emissions_dataset
DZA,1973,38.277401,global_emissions_dataset
DZA,1974,31.87666,global_emissions_dataset
DZA,1975,32.001207,global_emissions_dataset
DZA,1976,39.13107,global_emissions_dataset
DZA,1977,41.844913,global_emissions_dataset
DZA,1978,62.455266,global_emissions_dataset
DZA,1979,45.545552,global_emissions_dataset
DZA,1980,66.416467,global_emissions_dataset
DZA,1981,46.341982,global_emissions_dataset
DZA,1982,39.173029,global_emissions_dataset
