"label","pos_bigram","percentage"
"AI","ADJ_NOUN","23.259"
"HUMAN","DET_NOUN","22.280"
"AI","NOUN_ADP","20.536"
"HUMAN","ADJ_NOUN","15.017"
"HUMAN","NOUN_ADP","14.341"
"AI","DET_NOUN","11.534"
"AI","NOUN_NOUN","8.907"
"HUMAN","PRON_AUX","7.089"
"AI","ADP_NOUN","6.555"
"HUMAN","ADP_DET","6.010"
"HUMAN","PRON_VERB","5.234"
"AI","VERB_NOUN","3.546"
"HUMAN","NOUN_NOUN","3.269"
"AI","ADP_DET","3.232"
"HUMAN","VERB_PRON","3.170"
"HUMAN","NOUN_AUX","3.130"
"HUMAN","PART_VERB","3.091"
"AI","NOUN_VERB","2.885"
"AI","VERB_ADP","2.157"
"AI","NOUN_CCONJ","1.930"
