"label","dep","percentage"
"AI","prep","11.23"
"HUMAN","nsubj","9.89"
"AI","pobj","9.86"
"HUMAN","prep","9.51"
"HUMAN","det","9.24"
"AI","amod","9.02"
"HUMAN","pobj","8.49"
"AI","det","7.28"
"AI","dobj","7.03"
"AI","nsubj","7.00"
"HUMAN","aux","6.75"
"HUMAN","dobj","6.35"
"AI","advmod","5.90"
"HUMAN","amod","5.73"
"HUMAN","advmod","5.70"
"AI","conj","5.50"
"AI","aux","5.33"
"HUMAN","ccomp","4.49"
"HUMAN","conj","4.33"
"AI","compound","4.07"
"AI","cc","3.95"
"HUMAN","cc","3.36"
"AI","ccomp","3.01"
"HUMAN","compound","2.93"
"HUMAN","advcl","2.82"
"HUMAN","mark","2.56"
"AI","advcl","2.30"
"HUMAN","relcl","2.29"
"AI","mark","2.06"
"AI","relcl","1.97"
"AI","poss","1.77"
"HUMAN","xcomp","1.72"
"HUMAN","poss","1.64"
"AI","acomp","1.55"
"AI","xcomp","1.55"
"AI","pcomp","1.54"
"HUMAN","acomp","1.48"
"AI","acl","1.43"
"HUMAN","attr","1.42"
"HUMAN","neg","1.27"
"HUMAN","pcomp","1.10"
"AI","attr","0.95"
"HUMAN","nummod","0.92"
"AI","auxpass","0.81"
"HUMAN","auxpass","0.80"
"HUMAN","acl","0.78"
"AI","nsubjpass","0.62"
"HUMAN","nsubjpass","0.59"
"HUMAN","ROOT","0.55"
"AI","neg","0.55"
"HUMAN","npadvmod","0.54"
"AI","nummod","0.46"
"HUMAN","prt","0.41"
"AI","ROOT","0.41"
"AI","npadvmod","0.37"
"AI","nmod","0.37"
"AI","case","0.33"
"AI","prt","0.32"
"HUMAN","expl","0.30"
"AI","expl","0.30"
"HUMAN","case","0.24"
"AI","agent","0.22"
"HUMAN","csubj","0.22"
"HUMAN","nmod","0.20"
"HUMAN","appos","0.20"
"HUMAN","dative","0.20"
"AI","csubj","0.19"
"HUMAN","quantmod","0.17"
"HUMAN","agent","0.15"
"HUMAN","dep","0.14"
"AI","appos","0.13"
"HUMAN","predet","0.11"
"AI","dative","0.11"
"HUMAN","punct","0.11"
"HUMAN","oprd","0.11"
"AI","preconj","0.11"
"AI","dep","0.08"
"AI","oprd","0.08"
"HUMAN","intj","0.07"
"AI","predet","0.07"
"AI","quantmod","0.07"
"HUMAN","preconj","0.07"
"HUMAN","parataxis","0.06"
"AI","intj","0.04"
"AI","punct","0.04"
"AI","parataxis","0.01"
"HUMAN","csubjpass","0.01"
"AI","csubjpass","0.01"
"HUMAN","meta","0.00"
